Date,Openings,Hires,Labor_Force,Unemployment_Rate,Hourly_Wage,LH_Employment,State
2021-02-01,756.0,580.0,18803302.0,8.6,35.73,14048.5,CA
2021-03-01,821.0,673.0,18871089.0,8.5,35.65,14178.6,CA
2021-04-01,933.0,638.0,18953854.0,8.4,35.7,14369.8,CA
2021-05-01,967.0,662.0,18991064.0,8.0,36.15,14507.7,CA
2021-06-01,1043.0,655.0,19080789.0,7.9,35.69,14553.8,CA
2021-07-01,1206.0,672.0,19078070.0,7.4,35.98,14595.9,CA
2021-08-01,1175.0,677.0,19103848.0,7.0,36.36,14729.9,CA
2021-09-01,1194.0,688.0,19092098.0,6.5,36.15,14762.1,CA
2021-10-01,1232.0,705.0,19126570.0,6.1,36.42,15137.7,CA
2021-11-01,1208.0,726.0,19146512.0,5.7,36.82,15288.1,CA
2021-12-01,1199.0,720.0,19209716.0,5.4,37.02,15332.6,CA
2022-01-01,1177.0,669.0,19254374.0,5.2,37.51,15034.5,CA
2022-02-01,1279.0,661.0,19255349.0,4.8,36.85,15235.5,CA
2022-03-01,1284.0,652.0,19249837.0,4.5,36.81,15297.4,CA
2022-04-01,1309.0,665.0,19265425.0,4.3,37.1,15403.1,CA
2022-05-01,1360.0,657.0,19259838.0,4.1,37.53,15456.0,CA
2022-06-01,1221.0,634.0,19261014.0,4.0,37.32,15462.1,CA
2022-07-01,1439.0,606.0,19243485.0,3.9,37.86,15365.6,CA
2022-08-01,1162.0,693.0,19212192.0,3.8,37.55,15444.0,CA
2022-09-01,1170.0,581.0,19239929.0,4.0,37.68,15491.6,CA
2022-10-01,1207.0,602.0,19278884.0,4.1,38.1,15637.7,CA
2022-11-01,1177.0,608.0,19323800.0,4.3,37.65,15754.8,CA
2022-12-01,1184.0,568.0,19362803.0,4.4,37.66,15741.0,CA
2023-01-01,937.0,638.0,19397463.0,4.4,38.32,15424.9,CA
2023-02-01,930.0,592.0,19424892.0,4.5,37.9,15498.5,CA
2023-03-01,898.0,558.0,19448862.0,4.5,37.91,15520.2,CA
2023-04-01,1021.0,455.0,19474196.0,4.5,38.29,15558.9,CA
2023-05-01,848.0,548.0,19497204.0,4.6,38.06,15647.6,CA
2023-06-01,901.0,627.0,19518556.0,4.6,37.68,15628.3,CA
2023-07-01,905.0,603.0,19531760.0,4.7,38.4,15453.9,CA
2023-08-01,921.0,539.0,19546854.0,4.8,37.85,15528.3,CA
2023-09-01,852.0,538.0,19559854.0,4.9,38.11,15596.7,CA
2023-10-01,747.0,543.0,19580260.0,5.0,38.53,15719.2,CA
2023-11-01,756.0,476.0,19584613.0,5.0,38.24,15831.1,CA
2023-12-01,785.0,522.0,19611825.0,5.1,38.43,15853.9,CA
2015-01-01,473.0,524.0,13005030.0,4.5,24.36,9805.0,TX
2015-02-01,426.0,457.0,12996949.0,4.5,24.56,9884.9,TX
2015-03-01,428.0,484.0,12994457.0,4.5,24.46,9921.2,TX
2015-04-01,485.0,474.0,12997813.0,4.4,24.3,9985.7,TX
2015-05-01,477.0,441.0,13004689.0,4.4,24.28,10039.4,TX
2015-06-01,475.0,499.0,13012436.0,4.4,24.16,10070.5,TX
2015-07-01,559.0,508.0,13021327.0,4.4,24.13,10006.7,TX
2015-08-01,535.0,473.0,13031358.0,4.5,24.52,10029.3,TX
2015-09-01,506.0,522.0,13043523.0,4.5,24.36,10070.1,TX
2015-10-01,578.0,487.0,13062295.0,4.5,24.5,10157.0,TX
2015-11-01,531.0,512.0,13088927.0,4.5,24.62,10213.7,TX
2015-12-01,529.0,482.0,13119457.0,4.5,24.35,10239.9,TX
2016-01-01,541.0,423.0,13149367.0,4.5,24.61,10060.8,TX
2016-02-01,565.0,520.0,13176511.0,4.5,24.46,10136.9,TX
2016-03-01,619.0,516.0,13200366.0,4.5,24.53,10163.7,TX
2016-04-01,533.0,500.0,13222774.0,4.5,24.43,10228.6,TX
2016-05-01,549.0,476.0,13245429.0,4.6,24.67,10266.1,TX
2016-06-01,510.0,435.0,13267182.0,4.7,24.32,10270.6,TX
2016-07-01,518.0,565.0,13287060.0,4.7,24.4,10216.0,TX
2016-08-01,489.0,478.0,13304597.0,4.8,24.42,10241.2,TX
2016-09-01,516.0,493.0,13319196.0,4.8,24.58,10293.0,TX
2016-10-01,467.0,519.0,13330344.0,4.8,25.04,10350.7,TX
2016-11-01,511.0,497.0,13340963.0,4.8,24.79,10425.8,TX
2016-12-01,542.0,477.0,13355421.0,4.8,24.85,10440.8,TX
2017-01-01,447.0,458.0,13375477.0,4.8,25.37,10265.2,TX
2017-02-01,451.0,511.0,13399052.0,4.7,25.18,10339.6,TX
2017-03-01,482.0,506.0,13421751.0,4.7,25.14,10389.1,TX
2017-04-01,488.0,480.0,13442289.0,4.6,25.62,10422.0,TX
2017-05-01,448.0,501.0,13460096.0,4.4,25.26,10465.6,TX
2017-06-01,476.0,544.0,13475092.0,4.3,25.04,10491.0,TX
2017-07-01,465.0,505.0,13488447.0,4.2,25.57,10380.4,TX
2017-08-01,469.0,544.0,13500768.0,4.2,25.24,10404.6,TX
2017-09-01,526.0,543.0,13513740.0,4.1,25.48,10433.1,TX
2017-10-01,484.0,533.0,13529038.0,4.1,25.82,10531.8,TX
2017-11-01,438.0,555.0,13546877.0,4.1,25.6,10612.0,TX
2017-12-01,431.0,499.0,13568610.0,4.1,25.68,10621.5,TX
2018-01-01,503.0,552.0,13595908.0,4.1,25.74,10427.9,TX
2018-02-01,486.0,531.0,13629499.0,4.1,25.69,10522.9,TX
2018-03-01,493.0,528.0,13665155.0,4.0,25.63,10570.0,TX
2018-04-01,474.0,549.0,13694410.0,4.0,25.86,10598.1,TX
2018-05-01,499.0,621.0,13712961.0,4.0,25.57,10657.1,TX
2018-06-01,562.0,585.0,13722218.0,3.9,25.58,10690.2,TX
2018-07-01,591.0,592.0,13725433.0,3.9,26.01,10612.4,TX
2018-08-01,517.0,578.0,13729166.0,3.8,25.85,10652.5,TX
2018-09-01,558.0,585.0,13738074.0,3.8,26.22,10670.1,TX
2018-10-01,581.0,622.0,13753322.0,3.8,26.03,10766.0,TX
2018-11-01,619.0,531.0,13772019.0,3.8,26.17,10851.1,TX
2018-12-01,622.0,602.0,13789571.0,3.8,26.56,10854.5,TX
2019-01-01,614.0,640.0,13802976.0,3.7,26.33,10659.9,TX
2019-02-01,594.0,594.0,13813223.0,3.7,26.29,10752.8,TX
2019-03-01,591.0,596.0,13824443.0,3.6,26.09,10775.5,TX
2019-04-01,625.0,584.0,13841956.0,3.5,26.07,10817.4,TX
2019-05-01,600.0,575.0,13867607.0,3.4,26.08,10873.7,TX
2019-06-01,572.0,551.0,13900435.0,3.4,26.07,10895.7,TX
2019-07-01,573.0,577.0,13936883.0,3.5,25.92,10838.3,TX
2019-08-01,596.0,578.0,13971964.0,3.5,25.96,10878.7,TX
2019-09-01,562.0,544.0,14004715.0,3.5,26.31,10900.4,TX
2019-10-01,542.0,510.0,14034173.0,3.5,26.21,11004.9,TX
2019-11-01,535.0,499.0,14060143.0,3.5,26.44,11107.7,TX
2019-12-01,499.0,601.0,14075288.0,3.5,26.82,11101.6,TX
2020-01-01,529.0,539.0,14072438.0,3.5,26.7,10928.2,TX
2020-02-01,529.0,585.0,14049555.0,3.6,26.94,11005.7,TX
2020-03-01,418.0,450.0,13893417.0,5.0,26.88,10954.0,TX
2020-04-01,289.0,314.0,13300732.0,12.8,27.44,9732.5,TX
2020-05-01,416.0,739.0,13854813.0,11.7,26.91,10001.8,TX
2020-06-01,423.0,563.0,13855506.0,10.1,26.62,10239.9,TX
2020-07-01,423.0,510.0,13960798.0,9.3,26.92,10211.2,TX
2020-08-01,474.0,541.0,13961664.0,8.0,27.16,10311.3,TX
2020-09-01,598.0,550.0,14059000.0,7.7,26.85,10397.4,TX
2020-10-01,550.0,546.0,14074423.0,7.1,27.05,10577.2,TX
2020-11-01,557.0,561.0,14116639.0,7.0,27.49,10679.7,TX
2020-12-01,546.0,493.0,14146644.0,6.9,27.38,10711.1,TX
2021-01-01,590.0,525.0,14197617.0,6.8,27.52,10547.9,TX
2021-02-01,642.0,466.0,14215983.0,6.6,28.03,10573.1,TX
2021-03-01,734.0,580.0,14243338.0,6.4,27.7,10680.0,TX
2021-04-01,813.0,596.0,14278926.0,6.2,27.94,10766.2,TX
2021-05-01,867.0,563.0,14311166.0,6.0,28.53,10843.0,TX
2021-06-01,918.0,594.0,14361525.0,5.8,28.29,10897.3,TX
2021-07-01,941.0,634.0,14384130.0,5.6,28.54,10932.9,TX
2021-08-01,945.0,614.0,14416529.0,5.3,29.22,10967.7,TX
2021-09-01,903.0,673.0,14440570.0,5.0,28.94,11035.3,TX
2021-10-01,988.0,644.0,14485343.0,4.8,29.2,11251.1,TX
2021-11-01,965.0,657.0,14526003.0,4.6,29.29,11354.4,TX
2021-12-01,960.0,661.0,14577227.0,4.5,29.15,11387.9,TX
2022-01-01,948.0,555.0,14629668.0,4.3,30.11,11188.7,TX
2022-02-01,964.0,669.0,14662350.0,4.1,29.36,11325.1,TX
2022-03-01,1083.0,615.0,14690159.0,4.0,29.37,11361.4,TX
2022-04-01,1096.0,658.0,14723318.0,3.9,29.7,11472.6,TX
2022-05-01,1025.0,671.0,14752430.0,3.8,30.02,11518.8,TX
2022-06-01,1053.0,621.0,14773129.0,3.8,29.59,11526.4,TX
2022-07-01,1028.0,670.0,14784870.0,3.8,29.8,11563.2,TX
2022-08-01,900.0,600.0,14792376.0,3.7,30.01,11616.2,TX
2022-09-01,1024.0,581.0,14831360.0,3.8,29.97,11671.1,TX
2022-10-01,939.0,563.0,14877017.0,3.9,30.56,11788.2,TX
2022-11-01,894.0,603.0,14930752.0,4.0,30.44,11867.8,TX
2022-12-01,909.0,592.0,14989957.0,4.1,30.53,11852.8,TX
2023-01-01,862.0,597.0,15048359.0,4.1,31.36,11715.3,TX
2023-02-01,843.0,578.0,15101782.0,4.1,31.19,11792.3,TX
2023-03-01,772.0,595.0,15147599.0,4.1,31.15,11827.8,TX
2023-04-01,793.0,630.0,15185791.0,4.0,31.26,11873.5,TX
2023-05-01,783.0,612.0,15217003.0,4.0,31.01,11915.4,TX
2023-06-01,777.0,610.0,15244901.0,4.0,31.06,11941.5,TX
2023-07-01,767.0,543.0,15272807.0,4.0,31.73,11847.2,TX
2023-08-01,786.0,623.0,15300049.0,4.0,31.61,11894.6,TX
2023-09-01,804.0,541.0,15325854.0,4.0,31.94,11936.7,TX
2023-10-01,763.0,581.0,15349726.0,4.0,32.1,12034.4,TX
2023-11-01,804.0,584.0,15373520.0,4.0,31.84,12104.7,TX
2023-12-01,791.0,594.0,15399395.0,4.0,32.23,12092.3,TX
2015-01-01,314.0,248.0,9705061.0,5.7,28.78,8240.5,NY
2015-02-01,290.0,277.0,9718246.0,5.6,29.11,8318.6,NY
2015-03-01,257.0,256.0,9730674.0,5.6,29.05,8353.3,NY
2015-04-01,276.0,262.0,9740242.0,5.5,28.91,8423.1,NY
2015-05-01,283.0,255.0,9744552.0,5.4,28.62,8497.3,NY
2015-06-01,287.0,262.0,9742165.0,5.3,28.52,8517.0,NY
2015-07-01,348.0,276.0,9736639.0,5.1,28.52,8476.7,NY
2015-08-01,271.0,279.0,9732451.0,5.0,28.84,8444.4,NY
2015-09-01,301.0,237.0,9732729.0,4.9,28.7,8459.0,NY
2015-10-01,307.0,295.0,9740366.0,4.9,28.83,8597.2,NY
2015-11-01,311.0,295.0,9754221.0,4.8,29.31,8644.6,NY
2015-12-01,313.0,276.0,9768487.0,4.8,29.08,8665.1,NY
2016-01-01,312.0,277.0,9777801.0,4.8,29.33,8375.8,NY
2016-02-01,277.0,290.0,9779589.0,4.8,29.51,8460.6,NY
2016-03-01,326.0,287.0,9773761.0,4.8,29.31,8509.3,NY
2016-04-01,328.0,281.0,9764691.0,4.8,29.16,8595.0,NY
2016-05-01,347.0,280.0,9758146.0,4.8,29.23,8608.4,NY
2016-06-01,357.0,292.0,9756519.0,4.9,28.74,8644.0,NY
2016-07-01,356.0,277.0,9759182.0,4.9,29.01,8610.6,NY
2016-08-01,347.0,298.0,9764203.0,5.0,29.36,8579.7,NY
2016-09-01,351.0,262.0,9769629.0,5.0,29.21,8600.9,NY
2016-10-01,347.0,269.0,9773080.0,5.0,29.69,8706.4,NY
2016-11-01,336.0,270.0,9774939.0,4.9,29.39,8754.1,NY
2016-12-01,351.0,324.0,9778376.0,4.8,29.33,8780.6,NY
2017-01-01,334.0,331.0,9785983.0,4.7,30.16,8503.7,NY
2017-02-01,357.0,301.0,9799491.0,4.6,29.98,8593.6,NY
2017-03-01,309.0,281.0,9816438.0,4.6,29.99,8623.9,NY
2017-04-01,354.0,278.0,9834089.0,4.6,30.3,8672.9,NY
2017-05-01,342.0,298.0,9849999.0,4.6,29.75,8740.9,NY
2017-06-01,337.0,277.0,9861994.0,4.6,29.6,8783.8,NY
2017-07-01,343.0,256.0,9867628.0,4.7,30.09,8724.1,NY
2017-08-01,340.0,271.0,9865075.0,4.7,29.72,8699.8,NY
2017-09-01,320.0,283.0,9855369.0,4.7,30.04,8715.2,NY
2017-10-01,346.0,313.0,9841071.0,4.7,30.45,8831.0,NY
2017-11-01,347.0,263.0,9825046.0,4.6,30.15,8883.0,NY
2017-12-01,364.0,268.0,9810886.0,4.6,30.42,8905.1,NY
2018-01-01,400.0,278.0,9803080.0,4.5,30.76,8601.5,NY
2018-02-01,386.0,285.0,9804282.0,4.4,30.91,8708.1,NY
2018-03-01,409.0,261.0,9813082.0,4.3,30.9,8747.4,NY
2018-04-01,390.0,259.0,9823863.0,4.2,31.2,8797.3,NY
2018-05-01,374.0,299.0,9830800.0,4.1,30.76,8854.9,NY
2018-06-01,393.0,303.0,9832509.0,4.0,30.66,8909.7,NY
2018-07-01,389.0,312.0,9830902.0,3.9,31.26,8840.5,NY
2018-08-01,372.0,291.0,9830123.0,3.9,30.9,8810.5,NY
2018-09-01,398.0,287.0,9831476.0,3.9,31.43,8809.2,NY
2018-10-01,389.0,284.0,9835265.0,4.0,31.33,8947.7,NY
2018-11-01,427.0,297.0,9840824.0,4.0,31.56,8999.4,NY
2018-12-01,375.0,295.0,9846342.0,4.0,31.97,9010.1,NY
2019-01-01,377.0,267.0,9848899.0,4.0,31.93,8730.8,NY
2019-02-01,376.0,267.0,9846753.0,3.9,32.08,8820.3,NY
2019-03-01,370.0,290.0,9841664.0,3.9,31.8,8867.1,NY
2019-04-01,340.0,312.0,9837363.0,3.8,31.87,8920.6,NY
2019-05-01,395.0,292.0,9837115.0,3.8,31.84,8956.1,NY
2019-06-01,408.0,282.0,9842215.0,3.8,32.24,8996.5,NY
2019-07-01,366.0,321.0,9851433.0,3.8,31.92,8940.0,NY
2019-08-01,454.0,294.0,9863438.0,3.9,32.14,8906.6,NY
2019-09-01,401.0,303.0,9879755.0,3.9,32.76,8907.2,NY
2019-10-01,414.0,321.0,9899509.0,3.9,32.33,9021.8,NY
2019-11-01,370.0,319.0,9918398.0,4.0,32.55,9084.8,NY
2019-12-01,399.0,287.0,9928423.0,4.0,33.01,9082.9,NY
2020-01-01,427.0,348.0,9923358.0,4.1,32.82,8827.9,NY
2020-02-01,395.0,341.0,9901482.0,4.2,33.28,8908.2,NY
2020-03-01,348.0,226.0,9867923.0,4.2,33.06,8826.2,NY
2020-04-01,268.0,160.0,9119448.0,15.7,34.8,7246.8,NY
2020-05-01,315.0,364.0,9419207.0,16.7,34.45,7365.1,NY
2020-06-01,338.0,388.0,9505600.0,13.6,33.94,7564.7,NY
2020-07-01,363.0,344.0,9545521.0,12.6,34.07,7625.5,NY
2020-08-01,348.0,322.0,9483036.0,10.8,34.34,7783.4,NY
2020-09-01,311.0,312.0,9517449.0,10.2,34.1,7954.7,NY
2020-10-01,325.0,302.0,9485291.0,9.2,33.77,8138.1,NY
2020-11-01,324.0,266.0,9505123.0,8.9,34.31,8177.6,NY
2020-12-01,334.0,248.0,9513387.0,8.7,34.47,8146.0,NY
2021-01-01,344.0,250.0,9564884.0,8.5,34.88,7893.0,NY
2021-02-01,385.0,259.0,9567436.0,8.3,34.81,7992.9,NY
2021-03-01,416.0,291.0,9572842.0,8.1,34.68,8070.1,NY
2021-04-01,547.0,339.0,9589109.0,7.9,34.74,8160.5,NY
2021-05-01,574.0,268.0,9583194.0,7.5,35.32,8215.0,NY
2021-06-01,540.0,327.0,9617457.0,7.5,34.86,8271.3,NY
2021-07-01,619.0,292.0,9603748.0,7.0,35.04,8293.0,NY
2021-08-01,596.0,335.0,9606711.0,6.8,35.33,8283.5,NY
2021-09-01,598.0,330.0,9586797.0,6.2,35.1,8325.9,NY
2021-10-01,636.0,324.0,9597109.0,5.9,35.36,8537.0,NY
2021-11-01,695.0,332.0,9608605.0,5.5,35.34,8615.8,NY
2021-12-01,632.0,332.0,9643606.0,5.4,35.55,8649.9,NY
2022-01-01,617.0,320.0,9660517.0,5.2,36.25,8384.8,NY
2022-02-01,653.0,359.0,9661992.0,4.8,35.51,8525.1,NY
2022-03-01,621.0,301.0,9665260.0,4.6,35.52,8573.4,NY
2022-04-01,599.0,326.0,9676884.0,4.5,35.6,8611.2,NY
2022-05-01,543.0,340.0,9678221.0,4.3,35.89,8672.6,NY
2022-06-01,557.0,286.0,9680247.0,4.2,35.42,8744.2,NY
2022-07-01,582.0,303.0,9671387.0,4.0,35.72,8771.5,NY
2022-08-01,498.0,299.0,9657851.0,3.8,35.52,8757.2,NY
2022-09-01,526.0,293.0,9675983.0,3.9,35.82,8732.5,NY
2022-10-01,540.0,277.0,9694389.0,4.0,36.4,8838.1,NY
2022-11-01,461.0,275.0,9714705.0,4.0,36.06,8890.0,NY
2022-12-01,445.0,310.0,9735970.0,4.0,36.34,8884.3,NY
2023-01-01,461.0,300.0,9758797.0,4.0,36.97,8675.5,NY
2023-02-01,426.0,323.0,9782303.0,4.0,36.66,8759.4,NY
2023-03-01,408.0,309.0,9805337.0,4.0,36.5,8799.2,NY
2023-04-01,452.0,287.0,9825999.0,3.9,37.22,8824.8,NY
2023-05-01,443.0,263.0,9842980.0,3.9,36.62,8901.1,NY
2023-06-01,454.0,276.0,9857028.0,3.9,36.48,8978.4,NY
2023-07-01,431.0,269.0,9869841.0,4.0,37.09,8939.2,NY
2023-08-01,461.0,277.0,9880115.0,4.0,36.61,8908.1,NY
2023-09-01,466.0,269.0,9887061.0,4.1,36.76,8898.6,NY
2023-10-01,454.0,278.0,9890984.0,4.1,37.08,8984.1,NY
2023-11-01,439.0,287.0,9892851.0,4.2,36.76,9027.8,NY
2023-12-01,454.0,293.0,9894409.0,4.2,37.12,9052.8,NY
2015-01-01,316.0,341.0,9547419.0,5.9,22.32,7197.9,FL
2015-02-01,323.0,301.0,9552483.0,5.8,22.53,7264.5,FL
2015-03-01,319.0,311.0,9560034.0,5.8,22.45,7310.0,FL
2015-04-01,312.0,327.0,9569380.0,5.7,22.42,7331.8,FL
2015-05-01,312.0,332.0,9578842.0,5.6,22.51,7330.8,FL
2015-06-01,311.0,320.0,9586944.0,5.5,22.41,7229.0,FL
2015-07-01,329.0,327.0,9594674.0,5.5,22.55,7205.0,FL
2015-08-01,320.0,369.0,9603740.0,5.4,22.8,7306.1,FL
2015-09-01,296.0,322.0,9615536.0,5.3,22.8,7319.7,FL
2015-10-01,284.0,314.0,9632214.0,5.2,22.81,7423.5,FL
2015-11-01,335.0,266.0,9653667.0,5.2,22.98,7517.1,FL
2015-12-01,320.0,343.0,9676271.0,5.1,22.88,7555.3,FL
2016-01-01,322.0,299.0,9696667.0,5.1,22.73,7436.7,FL
2016-02-01,297.0,310.0,9714027.0,5.0,22.88,7503.9,FL
2016-03-01,335.0,310.0,9728409.0,4.9,23.12,7544.1,FL
2016-04-01,328.0,301.0,9742453.0,4.9,23.06,7573.1,FL
2016-05-01,319.0,294.0,9759763.0,4.9,23.33,7557.4,FL
2016-06-01,398.0,283.0,9780867.0,4.9,23.23,7439.0,FL
2016-07-01,344.0,313.0,9803758.0,4.9,23.11,7434.9,FL
2016-08-01,315.0,285.0,9826036.0,4.9,23.36,7528.6,FL
2016-09-01,347.0,293.0,9845564.0,4.9,23.48,7560.5,FL
2016-10-01,342.0,256.0,9860520.0,4.9,23.93,7617.4,FL
2016-11-01,321.0,285.0,9872058.0,4.8,23.69,7712.0,FL
2016-12-01,352.0,289.0,9883785.0,4.8,23.74,7737.7,FL
2017-01-01,328.0,315.0,9898705.0,4.7,23.9,7637.8,FL
2017-02-01,350.0,338.0,9917690.0,4.6,23.84,7691.5,FL
2017-03-01,350.0,321.0,9939194.0,4.5,23.78,7725.1,FL
2017-04-01,314.0,319.0,9959824.0,4.4,24.12,7728.3,FL
2017-05-01,309.0,312.0,9975367.0,4.3,23.93,7723.5,FL
2017-06-01,317.0,333.0,9984533.0,4.2,23.67,7614.7,FL
2017-07-01,331.0,270.0,9988901.0,4.2,24.05,7579.5,FL
2017-08-01,338.0,344.0,9990032.0,4.2,23.96,7669.8,FL
2017-09-01,294.0,292.0,9990253.0,4.1,24.8,7544.2,FL
2017-10-01,399.0,383.0,9992561.0,4.1,24.11,7753.5,FL
2017-11-01,377.0,309.0,9997986.0,4.1,24.06,7858.7,FL
2017-12-01,368.0,304.0,10007150.0,4.0,24.29,7883.9,FL
2018-01-01,385.0,284.0,10020689.0,3.9,24.38,7771.1,FL
2018-02-01,399.0,260.0,10038622.0,3.9,24.42,7837.3,FL
2018-03-01,413.0,280.0,10058444.0,3.8,24.4,7871.8,FL
2018-04-01,440.0,290.0,10076751.0,3.7,24.79,7872.8,FL
2018-05-01,442.0,308.0,10091633.0,3.7,24.8,7862.8,FL
2018-06-01,453.0,290.0,10102374.0,3.6,24.72,7756.5,FL
2018-07-01,454.0,283.0,10109684.0,3.6,24.87,7726.1,FL
2018-08-01,457.0,316.0,10116757.0,3.5,24.72,7843.7,FL
2018-09-01,440.0,304.0,10125597.0,3.5,25.2,7852.1,FL
2018-10-01,442.0,334.0,10136280.0,3.5,25.11,7927.8,FL
2018-11-01,474.0,326.0,10147309.0,3.5,25.01,8028.5,FL
2018-12-01,480.0,313.0,10157440.0,3.5,25.32,8037.3,FL
2019-01-01,458.0,345.0,10166080.0,3.5,25.42,7932.1,FL
2019-02-01,371.0,340.0,10174306.0,3.4,25.48,8001.9,FL
2019-03-01,428.0,336.0,10184993.0,3.4,25.37,8022.7,FL
